180428 201934.372|CONFIG|Thread-7|setFileHandlers|Now logging to C:\Users\李頤\Desktop\pc2-nctu-cp1\pc2-nctu-cp1\bin\logs directory.
180428 201934.372|INFO|Thread-7|info|
180428 201934.372|INFO|Thread-7|info|Version 9.5.3 20180207 (Wednesday, February 7th 2018 04:25 UTC) Java ver 1.8.0_161 build 4653 Windows 10 10.0 (x86) 
180428 201934.372|INFO|Thread-7|info|Login: team33 (aka team33)
180428 201934.372|INFO|Thread-7|startLog|Working directory is C:\Users\李頤\Desktop\pc2-nctu-cp1\pc2-nctu-cp1\bin
180428 201934.372|INFO|Thread-7|startLog|Process id is 3544@DESKTOP-K4G05R9
180428 201934.372|INFO|Thread-7|info|Attempting to load UI class edu.csus.ecs.pc2.ui.team.TeamView
180428 201934.403|INFO|Thread-7|info|Loaded UI class edu.csus.ecs.pc2.ui.team.TeamView
180428 201934.763|INFO|Thread-7|info| handlePacket original LOGIN_SUCCESS after -- all settings loaded 
180428 201934.763|INFO|Thread-7|info|handlePacket end Packet[LOGIN_SUCCESS] #727 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 201934.763|INFO|Thread-7|info| receiveObject(S) end   got Packet[LOGIN_SUCCESS] #727 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 202427.011|INFO|AWT-EventQueue-0|testOrSubmitRun|submitRun for B GNU C++17 file: C:\Users\李頤\Desktop\競技程式(一)\Midterm\PB2.cpp
180428 202427.011|INFO|AWT-EventQueue-0|sendToLocalServer|Sending packet to server Packet[RUN_SUBMISSION] #3 TEAM33 @ site 1 -> SERVER0 @ site 1
180428 202427.011|INFO|AWT-EventQueue-0|sendToLocalServer|Sent    packet to server Packet[RUN_SUBMISSION] #3 TEAM33 @ site 1 -> SERVER0 @ site 1
180428 202427.073|INFO|Thread-10|info| receiveObject(S) start got Packet[RUN_SUBMISSION_CONFIRM] #729 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 202427.073|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #729 ) recieveObject
180428 202427.073|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (MZ-XEON @ 127.0.1.1) (Contest Id: Default-8703459967009259949)
180428 202427.073|INFO|Thread-10|dumpPacket|    To: TEAM33 @ site 1
180428 202427.073|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 60 QUEUED_FOR_COMPUTER_JUDGEMENT 1949 min 116988986ms from TEAM33 @ site 1 id Run--3634579975260566890 problem B--6684375887043029269 lang GNU C++17--6411351786328765554
180428 202427.073|INFO|Thread-10|info|handlePacket start Packet[RUN_SUBMISSION_CONFIRM] #729 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 202427.073|INFO|Thread-10|dumpPacket|Packet RUN_SUBMISSION_CONFIRM (Seq #729 ) handlePacket
180428 202427.073|INFO|Thread-10|dumpPacket|  From: SERVER0 @ site 1 (MZ-XEON @ 127.0.1.1) (Contest Id: Default-8703459967009259949)
180428 202427.073|INFO|Thread-10|dumpPacket|    To: TEAM33 @ site 1
180428 202427.073|INFO|Thread-10|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 60 QUEUED_FOR_COMPUTER_JUDGEMENT 1949 min 116988986ms from TEAM33 @ site 1 id Run--3634579975260566890 problem B--6684375887043029269 lang GNU C++17--6411351786328765554
180428 202430.246|INFO|Thread-11|info| receiveObject(S) start got Packet[RUN_JUDGEMENT] #741 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 202430.246|INFO|Thread-11|dumpPacket|Packet RUN_JUDGEMENT (Seq #741 ) recieveObject
180428 202430.246|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (MZ-XEON @ 127.0.1.1) (Contest Id: Default-8703459967009259949)
180428 202430.246|INFO|Thread-11|dumpPacket|    To: TEAM33 @ site 1
180428 202430.246|INFO|Thread-11|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE5 @ site 1 judgement Yes--2768566803519619282 id JudgementRecord-2692812581116790060
180428 202430.246|INFO|Thread-11|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
180428 202430.246|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 60 JUDGED 1949 min 116988986ms from TEAM33 @ site 1 id Run--3634579975260566890 problem B--6684375887043029269 lang GNU C++17--6411351786328765554
180428 202430.246|INFO|Thread-11|info|handlePacket start Packet[RUN_JUDGEMENT] #741 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 202430.246|INFO|Thread-11|dumpPacket|Packet RUN_JUDGEMENT (Seq #741 ) handlePacket
180428 202430.246|INFO|Thread-11|dumpPacket|  From: SERVER0 @ site 1 (MZ-XEON @ 127.0.1.1) (Contest Id: Default-8703459967009259949)
180428 202430.246|INFO|Thread-11|dumpPacket|    To: TEAM33 @ site 1
180428 202430.246|INFO|Thread-11|dumpPacket|   key: JUDGEMENT_RECORD is: edu.csus.ecs.pc2.core.model.JudgementRecord Yes by JUDGE5 @ site 1 judgement Yes--2768566803519619282 id JudgementRecord-2692812581116790060
180428 202430.246|INFO|Thread-11|dumpPacket|   key: CLIENT_ID is: edu.csus.ecs.pc2.core.model.ClientId SERVER0 @ site 1
180428 202430.246|INFO|Thread-11|dumpPacket|   key: RUN is: edu.csus.ecs.pc2.core.model.Run Run 60 JUDGED 1949 min 116988986ms from TEAM33 @ site 1 id Run--3634579975260566890 problem B--6684375887043029269 lang GNU C++17--6411351786328765554
180428 202432.418|INFO|Thread-11|info| receiveObject(S) end   got Packet[RUN_JUDGEMENT] #741 SERVER0 @ site 1 -> TEAM33 @ site 1
180428 202436.198|INFO|Thread-10|info| receiveObject(S) end   got Packet[RUN_SUBMISSION_CONFIRM] #729 SERVER0 @ site 1 -> TEAM33 @ site 1
